document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,17225.9973062963,1.1660683378845729,41.08009902146822
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,5952.096630090027,1.0623856414947335,34.6993572804006
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,4981.360274238768,1.062651786352493,35.20092251403439
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,6030.872934940848,1.0634325881071984,40.48951785828402
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,111080.51639659032,1.1420698920043466,29.059328778873844
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,25908.941846960242,1.0460662901710864,27.235062922359305
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,48266.47414573515,1.1446516808859222,33.00492336213007
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,61681.682985071486,1.1323717899354553,25.630354890927027
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,4157.431189617113,1.0624708204289977,39.76138090399948
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,6505.897001124889,1.0505752147515834,34.41064461700556
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,11903.961679915403,1.0714976008938368,37.12912055845423
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,31477.666345893806,1.0529351793329962,33.71564378110692
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,5976.340883696097,1.056093494244353,30.415347340506536
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,10808.607971509413,1.0559708471503633,29.35432538469909
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,43374.906025563054,1.1484857001995359,31.631875086223125
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,34303.81871952366,1.057497066992903,18.94246906551559
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,5537.639376849792,1.0586266861700508,27.628977703919777
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,20745.935971779796,1.160702803529212,39.58773512351162
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,15333.08328592009,1.1582292050925012,40.6430702848068
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,17228.41469028478,1.1529852937751062,25.883142597021155
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,25264.882746918243,1.1391725074152725,30.823758333896762
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,4035.429645580094,1.0537286292154313,29.266592591792733
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,71960.09187981447,1.1285194500854276,28.528104387094107
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,32458.243159586913,1.1474376394857586,33.13211556093715
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,53170.435440909234,1.147299048489711,31.006817772717017
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,34172.16078070751,1.1674478993316435,32.45761213242715
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,12993.577402826282,1.1708083560702094,39.70415147312413
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,16818.857503784704,1.1656736850210931,39.999794419665804
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,13612.658930141502,1.167927435938974,37.199339362979615
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,75117.78192998562,1.1543896452283637,32.98412385601609
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,33505.20604125756,1.063221939318502,32.73590443469592
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,2700.079985526268,1.0592528185549712,41.737157261627615
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,41486.34542477066,1.1478150385076453,27.528568294417433
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,36432.37637702737,1.0649073263568531,29.042395344300992
